agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
627,0.0,0.0,11336.740347301826,21,9120.000124122704,9454.447651201013,-0.19553594377829353,-0.1660347364795034,-0.16963542111286578,2.8007700423212576,275,116,0.007570387486147936,0.1618752838228597,0.0670002083305673,334.4475270783133,118895.05415662668,10612.711179430436,59.44752707831334,275.0,3495.0,7020.0,0.0,49.0,90.0,0.0,122,86.55346205637572,102.9601236578174,68.69796752929688,85.875732421875,49.0,805.0,90.0,1601.0,31.25,822.75,61.25,1629.75,49.0,805.0,90.0,1601.0,1473.0,20.0,1244.0,15.0,1568.0,21.0
628,0.0,0.0,43812.02273938745,8,41608.38414126853,42062.45585880468,-0.050297577247850556,-0.03993348791472018,-0.04031294855684586,3.440676273794332,154,75,0.005220752610736557,0.16845938126195378,0.2503694438751675,454.0717175361844,600143.4350723694,43606.502567774216,300.07171753618474,154.0,1990.0,2042.0,0.0,27.0,44.0,0.0,68,72.68513766233607,66.31102584102109,56.95631790161133,46.56339645385742,27.0,205.0,44.0,268.0,17.75,214.25,33.25,278.75,27.0,205.0,44.0,268.0,338.0,9.0,1178.0,13.0,640.0,11.0
629,0.0,0.0,22390.179898626997,22,17794.553276560408,18248.12591660085,-0.20525188465986377,-0.18499422518173447,-0.18733108491749662,2.8656500556531572,336,151,0.004749098175322113,0.16761598994829086,0.06698382880161853,453.5726400404498,235145.2800808989,20514.130783085366,117.57264004044946,336.0,5404.0,5676.0,0.0,73.0,90.0,0.0,143,92.6517121168539,78.90037086408027,77.0,49.0,73.0,1413.0,90.0,1565.0,46.0,1440.0,62.25,1592.75,73.0,1413.0,90.0,1565.0,1069.0,17.0,2886.0,41.0,1946.0,32.0
630,0.0,0.0,318519.9642430823,27,234555.82881101946,236795.61497403044,-0.26360713568328986,-0.25657528080934644,-0.2578377993888761,3.1208321642155,424,199,0.0033823125089866607,0.16073466216827226,0.05644665701994605,2239.7861630112866,3631572.3260225714,290913.7799577456,1815.7861630112857,424.0,5266.0,8339.0,0.0,71.0,127.0,0.0,170,79.0952993245009,90.48642266176869,61.0,76.0,71.0,1655.0,127.0,2736.0,52.25,1673.75,86.5,2776.5,71.0,1655.0,127.0,2736.0,1692.0,29.0,2326.0,32.0,2224.0,39.0
631,0.0,0.0,137599.892510986,26,128404.60806539157,129703.53297977435,-0.06682624730146713,-0.057386378630936985,-0.05776915757009882,3.1587424038618073,448,209,0.003956196334149365,0.16124849120695423,0.05600922308401362,1298.9249143828272,1701849.8287656563,134693.6225857649,850.9249143828282,448.0,5084.0,8020.0,0.0,102.0,111.0,0.0,181,75.34033619833224,81.5420239110992,55.27975082397461,65.0,102.0,1769.0,111.0,2724.0,71.25,1799.75,70.25,2764.75,102.0,1769.0,111.0,2724.0,1654.0,26.0,1913.0,43.0,1927.0,25.0
632,0.0,0.0,23206.572176960595,25,19376.135686710346,19876.133486877272,-0.1650582628507753,-0.14351273702497824,-0.14582532783920354,3.000203399598842,368,161,0.006106958777969351,0.15948009892339837,0.055434699944893334,499.99780016692745,263995.60033385496,21998.14189007601,131.99780016692748,368.0,5273.0,7317.0,0.0,85.0,97.0,0.0,158,73.86645897925207,86.04555219069802,57.0,76.78113555908203,85.0,1581.0,97.0,2184.0,57.25,1608.75,65.75,2215.25,85.0,1581.0,97.0,2184.0,1506.0,14.0,2110.0,33.0,2058.0,28.0
633,0.0,0.0,168610.99057741134,18,147463.7371407559,148791.0048677295,-0.125420373631851,-0.11754859894843128,-0.1182870493322532,3.1076454009213377,299,144,0.005105439761842176,0.16194173964930783,0.0865363712085404,1327.267726973722,2056535.4539474435,165441.61162481192,1028.267726973722,299.0,3939.0,5133.0,0.0,52.0,85.0,0.0,125,76.94934520095025,85.17647858500729,55.43022918701172,71.31256866455078,52.0,869.0,85.0,1244.0,37.0,884.0,57.0,1272.0,52.0,869.0,85.0,1244.0,976.0,21.0,2088.0,27.0,1501.0,18.0
634,0.0,0.0,10888.243681896598,30,8392.686511195727,8864.928090937154,-0.22919740259396693,-0.18582570799030906,-0.19065920754580312,3.1274256092569654,411,164,0.007899512983298822,0.1601171094016081,0.04205476162575312,472.2415797414319,122483.15948286434,9791.052992621358,61.241579741432176,411.0,6373.0,8610.0,0.0,77.0,140.0,0.0,177,91.5461438564548,92.09951182449475,70.0,69.5,77.0,2150.0,140.0,2900.0,53.5,2173.5,102.5,2937.5,77.0,2150.0,140.0,2900.0,1794.0,27.0,1688.0,20.0,1756.0,33.0
635,0.0,0.0,333342.8351874398,30,257847.28198941913,259838.33536166258,-0.22648020364850285,-0.220507213795207,-0.22147524636538096,2.5401712859289307,423,189,0.0031523179219400295,0.16159420400595875,0.04630529123862425,1991.0533722433822,3136106.7444867673,308651.1096573459,1568.0533722433836,423.0,6288.0,8828.0,0.0,84.0,121.0,0.0,167,88.34875978563218,88.1413308544436,66.5,72.8998794555664,84.0,2024.0,121.0,2781.0,52.5,2055.5,86.0,2816.0,84.0,2024.0,121.0,2781.0,1861.0,27.0,2845.0,41.0,2452.0,31.0
636,0.0,0.0,31683.47437457567,24,26155.42099526664,26759.060957708356,-0.17447749934095003,-0.1554252970696578,-0.1575696111904229,3.282294858471804,408,185,0.004434108720927243,0.16275281136077935,0.059546209539909474,603.6399624417265,391279.92488345405,29802.313758736254,195.63996244172702,408.0,5007.0,7076.0,0.0,84.0,115.0,0.0,166,84.6938333462667,66.5867739599515,76.5,48.0,84.0,1610.0,115.0,2171.0,58.25,1635.75,82.75,2203.25,84.0,1610.0,115.0,2171.0,1426.0,25.0,2014.0,37.0,1692.0,31.0
