agent_id,delta,kappa,initial_wealth,capacity,final_net,final_gross,net_return,gross_return,gross_return_comp,turnover,trade_count,num_lots_opened,mean_cash_weight,portfolio_vol,hhi,costs_paid,volume_mid,mean_portfolio_value,spread_cost,commission_cost,position_days_in_gain,position_days_in_loss,position_days_neutral,sells_from_gain,sells_from_loss,sells_from_neutral,sale_days,mean_holding_winners,mean_holding_losers,median_holding_winners,median_holding_losers,G_r_full,G_p_full,L_r_full,L_p_full,G_r_frac,G_p_frac,L_r_frac,L_p_frac,G_r,G_p,L_r,L_p,cell_A_rebote_bajo_agua_opp,cell_A_rebote_bajo_agua_sell,cell_B_ganadora_infraponderada_opp,cell_B_ganadora_infraponderada_sell,cell_C_perdedora_sobreponderada_opp,cell_C_perdedora_sobreponderada_sell
317,0.0,0.0,37221.80476625244,17,73336.68268440037,73506.89590736653,0.9702613332412049,0.9748342770851448,0.9766670786802971,0.6701131438046825,97,45,0.004964222014447646,0.16746029653313202,0.05850324915486407,170.21322296618422,146426.44593236834,54627.50853572542,73.21322296618418,97.0,7845.0,723.0,0.0,32.0,3.0,0.0,34,220.98820348919944,53.106885728942196,227.35545349121094,52.22977066040039,32.0,500.0,3.0,43.0,4.42858449217726,527.5714155078227,0.46913711727171525,45.530862882728286,32.0,500.0,3.0,43.0,139.0,1.0,97.0,0.0,3.0,3.0
318,0.0,0.0,84959.92306492761,15,172916.75846595742,173184.35305131663,1.0352744238458396,1.0384240804804712,1.0397620370109801,0.7246292271107995,91,41,0.00789539185668847,0.17397233552253097,0.0659340539130194,267.59458535922215,353189.1707184442,121851.68549116493,176.59458535922212,91.0,6239.0,1321.0,0.0,31.0,4.0,0.0,34,228.77906735283725,78.85669011880098,221.0,74.27889251708984,31.0,391.0,4.0,84.0,4.36953151429501,417.6304684857049,0.9398704198078488,87.06012958019215,31.0,391.0,4.0,84.0,315.0,0.0,107.0,0.0,4.0,4.0
319,0.0,0.0,57606.98976361897,23,124441.66403288182,124695.8707540316,1.1601834177329557,1.164596193373427,1.1666433436918928,0.6956401787803655,133,61,0.0037402786811329774,0.17257850657164367,0.04333493753465378,254.2067211497484,242413.44229949673,87118.83301670026,121.20672114974838,133.0,10372.0,1220.0,0.0,45.0,4.0,0.0,48,214.8740810435349,138.72759598367784,218.0,105.76021575927734,45.0,961.0,4.0,94.0,6.326742708307663,999.6732572916922,0.5811032543265776,97.41889674567341,45.0,961.0,4.0,94.0,237.0,1.0,101.0,0.0,4.0,4.0
320,0.0,0.0,23287.865092374846,12,46691.84632644111,46796.47541370093,1.004986122224207,1.0094789809231384,1.0113481429252906,0.6568050613982809,61,27,0.0046310234091522075,0.17857511352107872,0.08292899241712025,104.62908725981698,87258.17451963396,33213.11742553753,43.629087259816984,61.0,5163.0,885.0,0.0,21.0,1.0,0.0,21,253.68481811708492,146.23606955187478,240.09005737304688,146.23606872558594,21.0,203.0,1.0,27.0,2.8436109332656723,221.15638906673433,0.13260342572262707,27.86739657427737,21.0,203.0,1.0,27.0,211.0,1.0,38.0,0.0,1.0,1.0
321,0.0,0.0,132815.6853805023,16,235067.38589270719,235467.54697719344,0.7698766920433004,0.7728895973589629,0.7738391479385189,0.8021610865218244,114,49,0.01052078463991282,0.15965986073958396,0.0614607128679029,400.1610844862099,572322.16897242,178368.83968468622,286.16108448621003,114.0,6552.0,1512.0,0.0,43.0,6.0,0.0,47,203.30757428178723,111.32271756123436,199.3927459716797,93.96878051757812,43.0,577.0,6.0,126.0,6.313682203953251,613.6863177960468,1.2912824221896342,130.70871757781038,43.0,577.0,6.0,126.0,325.0,0.0,39.0,0.0,6.0,6.0
322,0.0,0.0,10696.19029167917,25,19894.447441511296,20073.13411513724,0.8599563862460149,0.8766620233703795,0.8827413051602548,0.8690071125089697,153,56,0.014388062473017268,0.16673384177799536,0.03906251100910967,178.68667362594755,51373.347251895095,14779.323009098165,25.68667362594755,153.0,10565.0,2035.0,0.0,64.0,8.0,0.0,65,211.62531390469408,77.35171920067663,204.37942504882812,76.84931945800781,64.0,1349.0,8.0,204.0,11.368428677408453,1401.631571322591,2.1939909532984636,209.80600904670155,64.0,1349.0,8.0,204.0,433.0,0.0,142.0,0.0,8.0,8.0
323,0.0,0.0,67836.01841511254,10,131172.87181384568,131349.36655105228,0.9336758683440494,0.93627765337404,0.937166900829199,0.6423110581853667,50,24,0.010812200280470101,0.17532919603283428,0.09827204557466361,176.49473720658244,252989.47441316486,98468.44110387158,126.49473720658243,50.0,4489.0,551.0,0.0,14.0,2.0,0.0,16,246.13046085128846,61.56453986513147,272.68701171875,61.564537048339844,14.0,126.0,2.0,18.0,2.0102684696851236,137.98973153031483,0.27495354268247063,19.72504645731753,14.0,126.0,2.0,18.0,124.0,1.0,28.0,0.0,2.0,2.0
324,0.0,0.0,35384.57021526148,8,62775.91949873182,62886.243514208356,0.774104337479175,0.7772221940704909,0.7782199538171453,0.6591756812416216,46,20,0.01621741073033927,0.17617138566290866,0.12151826872150737,110.32401547654013,128648.03095308025,48791.25346021532,64.32401547654013,46.0,3366.0,666.0,0.0,16.0,2.0,0.0,18,239.81995301776692,90.46486686183431,274.9907531738281,90.4648666381836,16.0,106.0,2.0,20.0,2.2249391671021774,119.77506083289782,0.2670586769836195,21.732941323016384,16.0,106.0,2.0,20.0,152.0,1.0,14.0,0.0,2.0,2.0
325,0.0,0.0,20115.531775752475,27,40462.7959801118,40710.344439797416,1.011520074696021,1.0238264090472713,1.0293387834996341,0.9198156843037113,194,72,0.011526325706473353,0.17182019299646592,0.03636574485779635,247.5484596856142,107096.91937122843,29108.25538170167,53.54845968561422,194.0,11491.0,2117.0,0.0,81.0,14.0,0.0,93,198.655560471882,81.37712916163879,177.19248962402344,83.68083953857422,81.0,2069.0,14.0,347.0,14.39870145076553,2135.6012985492343,2.7835170057305128,358.2164829942695,81.0,2069.0,14.0,347.0,454.0,1.0,45.0,0.0,14.0,14.0
326,0.0,0.0,18152.788074968663,28,37214.7395826596,37442.49221599095,1.05008395564183,1.0626303828017112,1.068950539340498,0.8110231812327411,185,70,0.007475409375456088,0.17687364986924586,0.035348129587404915,227.7526333313467,85505.26666269312,26357.220311732213,42.75263333134656,185.0,12083.0,2029.0,0.0,72.0,15.0,0.0,84,207.8757823250571,72.81409070516989,217.17599487304688,63.232200622558594,72.0,1932.0,15.0,333.0,10.813546307485591,1993.1864536925148,3.161596472313166,344.8384035276868,72.0,1932.0,15.0,333.0,427.0,1.0,143.0,0.0,15.0,15.0
